TPH,BPH,TST,BST,W
7.28,7.32,24.44,23.89,Dry
7.7,7.38,7.68,6.9,Dry
7.73,7.73,25.05,24.56,Wet
7.99,8.04,24.12,23.45,Dry
7.46,7.48,18.42,17.92,Dry
7.68,7.75,4.41,4.71,Dry
7.46,7.54,23.14,22.4,Dry
7.08,7.11,21.76,21.47,Dry
7.54,7.58,21.79,21.25,Dry
7.46,7.53,2.33,2.27,Dry
7.57,7.58,12.84,12.82,Dry
8.17,8.2,15.22,15.09,Dry
7.39,7.28,22.99,18.79,Dry
7.49,7.47,15.51,15.5,Dry
7.91,7.91,8.94,8.69,Wet
7.1,7.09,22.39,22.45,Wet
7.73,7.56,21.84,15.2,Wet
7.67,7.65,23.46,22.84,Dry
7.64,7.6,16.36,16.36,Dry
7.63,7.66,20.37,21.02,Wet
7.95,7.93,5.36,5.54,Wet
7.52,7.5,20.19,20.13,Wet
7.78,7.78,13.22,12.87,Dry
7.37,7.12,21.2,21.3,Dry
7.24,7.12,16.05,14.64,Dry
7.76,7.74,22.67,21.58,Dry
7.7,7.38,27.14,26.81,Dry
7.5,7.63,23.79,23.86,Wet
8.23,8.31,0.73,1.12,Wet
7.38,7.37,25.27,24.88,Dry
7.88,7.94,23.22,23.1,Wet
7.96,7.93,22.71,22.56,Wet
7.22,7.24,25.84,25.1,Dry
7.22,7.24,22.91,22.87,Dry
7.55,7.63,4,2.9,Wet
7.31,7.28,21.21,21.11,Wet
7.47,7.54,21.8,21.58,Wet
6.78,6.94,21.06,19.5,Wet
7.37,7.38,12.81,12.76,Dry
7.31,7.38,25.1,24.65,Dry
8.06,7.93,22.54,21.84,Wet
8.14,7.66,21.47,20.13,Dry
6.94,6.97,21.73,18.54,Dry
7.73,7.7,15.6,13.18,Wet
7.46,7.47,21.73,21.66,Dry
7.34,7.33,21.14,21.32,Dry
7.27,7.24,22.81,21.86,Dry
7.85,7.86,14.9,14.77,Wet
7.11,7.12,22.33,21.75,Wet
7.22,7.29,16.2,14.5,Dry
7.68,7.72,5.97,5.26,Dry
7.76,7.78,21.42,21.42,Dry
7.86,7.89,23.79,23.59,Dry
7.77,7.8,8.48,8.9,Dry
7.61,7.59,23.7,23.32,Dry
7.51,7.5,23.34,23.01,Dry
7.38,7.33,23.27,23.04,Dry
7.75,7.74,0.72,0.84,Wet
7.38,7.37,17.38,16.54,Wet
7.63,7.64,26.02,25.86,Dry
7.39,7.41,9.23,9.43,Dry
6.98,7.13,23.14,23.09,Wet
7.38,7.3,21.16,20.08,Dry
7.32,7.31,23.26,22.44,Dry
8.53,7.57,29.31,25.65,Dry
7.69,7.71,21.87,21.55,Dry
7.13,7.25,20.88,20.89,Dry
7.83,7.9,22.54,22.18,Dry
7.72,7.78,9.4,9.42,Wet
7.57,7.57,7.9,7.8,Dry
8.22,8.24,5.25,3.8,Dry
7.16,7.43,17.74,16.94,Wet
7.47,7.49,19.76,19.56,Wet
7.15,7.18,23.3,22.88,Dry
7.4,7.47,1.83,1.82,Dry
8.03,8.03,26.3,25.36,Dry
7.63,7.59,24.73,23.68,Dry
7.84,7.87,23.31,23.06,Dry
7.97,7.89,20.22,18.15,Dry
6.7,6.71,23.26,23.48,Wet
7.77,7.77,24.24,23.88,Dry
7.81,7.66,21.6,22.28,Wet
7.46,7.45,22.68,21.02,Dry
7.76,7.82,17.95,16.41,Wet
7.34,7.37,23,23.01,Dry
7.45,7.47,16.95,17.31,Dry
7.57,7.61,17.99,17.93,Dry
7.57,7.56,22.54,22.4,Wet
7.29,7.5,22.13,21.47,Dry
7.7,7.71,7.96,7.95,Dry
7.2,7.22,24.47,24.34,Dry
7.37,7.39,19.99,20.04,Wet
7.5,7.53,26.19,25.28,Dry
7.91,7.93,1.24,1.4,Dry
7.95,7.99,24.17,23.31,Dry
7.53,7.52,22.54,21.68,Wet
7.09,7.09,23.99,23.95,Wet
7.35,7.23,20.92,18.49,Dry
7.75,7.76,21.47,19.92,Dry
7.34,7.37,21.11,21.06,Dry
7.7,7.67,23.72,23.51,Dry
7.86,7.86,25.12,24.27,Dry
7.42,7.4,14.01,13.85,Wet
7.45,7.53,20.03,18.05,Dry
7.41,7.49,18.67,18.54,Wet
7.13,7.14,22.59,22.15,Dry
7.26,7.15,19.7,16.62,Wet
8.03,7.48,17.88,16.9,Wet
7.36,7.34,19.94,18,Dry
7.29,7.37,22.49,22.46,Wet
7.3,7.23,23.46,23.36,Dry
7.43,7.41,18.41,18.3,Dry
7.85,7.65,29.03,26.33,Dry
7.82,7.62,25.09,24.49,Dry
7.73,7.43,25.92,23.98,Dry
7.53,7.46,20.74,18.19,Wet
8.15,8.11,25.6,25.29,Dry
7.68,7.77,19.22,19.15,Wet
8.22,8.15,15.23,14.79,Wet
7.74,7.8,14.75,12.49,Dry
7.89,7.81,11.86,9.65,Dry
7.92,7.93,14.27,14.25,Dry
7.66,7.76,23.54,22.31,Wet
7.63,7.66,23.15,22.86,Dry
7.93,8.02,25.82,25.68,Dry
7.64,7.66,21.74,21.32,Dry
7.68,7.7,5.38,4.93,Wet
7.59,7.56,23.27,22.28,Dry
7.21,7.23,22.83,22.67,Dry
8.29,8.3,14.48,13.44,Dry
7.4,7.33,23.87,23.6,Dry
8.45,8.5,21.85,20.82,Wet
8.21,8.25,3.81,3.78,Dry
7.31,7.35,24.55,23.5,Dry
7.52,7.46,24.93,24.51,Wet
7.51,7.53,19.32,19.18,Wet
7.59,7.63,22.19,21.04,Wet
7.56,7.6,22.76,22.48,Dry
8.09,8.09,15.25,15.23,Dry
7.7,7.7,21.74,21.27,Dry
7.63,7.62,25.7,24.21,Dry
7.59,7.65,0.58,0.46,Dry
8.4,8.14,2.57,2.57,Dry
7.6,7.62,21.99,21.69,Wet
7.27,7.27,23.16,23.04,Dry
7.28,7.25,24.26,23.13,Dry
8.11,7.89,23.68,23.32,Dry
8.28,8.21,20.52,19.17,Dry
7.84,7.82,26.07,25.76,Dry
7.65,7.64,20.6,20.29,Wet
7.19,7.2,24.05,23.06,Dry
7.64,7.66,17.32,17.37,Dry
7.4,7.44,19.96,19.92,Dry
7.35,7.46,19.51,19.52,Wet
8,7.96,23.4,23.06,Dry
7.32,7.34,17.32,17.26,Dry
7.1,7.11,18.5,16.58,Wet
7.39,7.41,23.02,22.73,Wet
7.88,7.85,5.99,5.23,Dry
7.65,7.71,12.84,12.12,Wet
7.64,7.59,22.23,22.22,Dry
7.49,7.51,16.22,15.96,Dry
7.41,7.45,23.84,23.76,Dry
7.68,7.7,12.97,12.98,Dry
7.73,7.76,17.47,17.46,Dry
7.4,7.35,22.09,21.63,Dry
8.2,8.2,6.47,6.42,Wet
7.53,7.53,23.91,23.25,Dry
7.4,7.45,20.01,20.69,Wet
7.3,7.29,23.5,22.44,Dry
7.59,7.65,5.3,5.47,Dry
7.82,7.79,5.12,5.06,Wet
8.31,8.22,4.12,4.09,Wet
7.21,7.21,12.47,8.21,Dry
7.8,7.84,8.84,9.03,Wet
8.08,8.1,4.72,4.68,Dry
8.21,7.9,25.3,24.03,Wet
7.61,7.65,17.29,17.5,Dry
7.73,7.82,0.82,4.11,Dry
7.73,7.77,3.79,3.53,Dry
7.76,7.76,22.31,21.36,Dry
7.51,7.41,16.2,16,Dry
8.17,8.11,25.87,22.69,Dry
